id,datetime,temperature,humidity,rain,wind_speed,cloud_cover
1,2026-07-08 00:00:00,29.4,86.0,0.0,11.4,91.0
2,2026-07-08 01:00:00,29.3,85.0,0.0,10.9,97.0
3,2026-07-08 02:00:00,29.2,87.0,0.0,9.2,98.0
4,2026-07-08 03:00:00,29.1,87.0,0.0,10.4,98.0
5,2026-07-08 04:00:00,28.9,89.0,0.0,10.5,97.0
6,2026-07-08 05:00:00,28.7,90.0,0.0,11.0,91.0
7,2026-07-08 06:00:00,28.5,89.0,0.0,10.6,84.0
8,2026-07-08 07:00:00,29.0,85.0,0.0,11.1,95.0
9,2026-07-08 08:00:00,30.0,78.0,0.0,11.9,77.0
10,2026-07-08 09:00:00,31.3,71.0,0.0,10.8,13.0
11,2026-07-08 10:00:00,32.0,68.0,0.0,11.8,45.0
12,2026-07-08 11:00:00,32.2,68.0,0.0,14.3,62.0
13,2026-07-08 12:00:00,32.3,70.0,0.0,16.3,80.0
14,2026-07-08 13:00:00,32.5,69.0,0.0,18.0,93.0
15,2026-07-08 14:00:00,32.3,70.0,0.0,19.1,95.0
16,2026-07-08 15:00:00,32.1,71.0,0.0,18.8,80.0
17,2026-07-08 16:00:00,31.7,72.0,0.0,18.6,73.0
18,2026-07-08 17:00:00,30.9,77.0,0.0,18.5,100.0
19,2026-07-08 18:00:00,30.2,80.0,0.0,18.8,81.0
20,2026-07-08 19:00:00,29.5,82.0,0.0,17.8,16.0
21,2026-07-08 20:00:00,29.3,83.0,0.0,18.5,24.0
22,2026-07-08 21:00:00,29.1,84.0,0.0,16.2,14.0
23,2026-07-08 22:00:00,28.9,86.0,0.0,14.8,27.0
24,2026-07-08 23:00:00,28.9,86.0,0.0,14.1,25.0
25,2026-07-09 00:00:00,28.7,87.0,0.0,14.0,19.0
26,2026-07-09 01:00:00,28.5,87.0,0.0,14.3,23.0
27,2026-07-09 02:00:00,28.4,87.0,0.0,13.7,20.0
28,2026-07-09 03:00:00,28.2,88.0,0.0,14.5,17.0
29,2026-07-09 04:00:00,28.1,87.0,0.0,15.3,30.0
30,2026-07-09 05:00:00,28.2,86.0,0.0,16.3,16.0
31,2026-07-09 06:00:00,28.1,86.0,0.0,16.4,15.0
32,2026-07-09 07:00:00,28.7,82.0,0.0,19.1,30.0
33,2026-07-09 08:00:00,29.6,75.0,0.0,19.7,41.0
34,2026-07-09 09:00:00,30.5,70.0,0.0,19.7,46.0
35,2026-07-09 10:00:00,31.5,64.0,0.0,19.6,57.0
36,2026-07-09 11:00:00,31.9,64.0,0.0,20.3,62.0
37,2026-07-09 12:00:00,32.1,64.0,0.0,21.2,42.0
38,2026-07-09 13:00:00,32.4,61.0,0.0,20.7,46.0
39,2026-07-09 14:00:00,32.3,63.0,0.0,20.8,52.0
40,2026-07-09 15:00:00,32.0,64.0,0.0,21.3,45.0
41,2026-07-09 16:00:00,31.5,67.0,0.0,21.0,32.0
42,2026-07-09 17:00:00,30.9,69.0,0.0,20.9,41.0
43,2026-07-09 18:00:00,30.2,72.0,0.0,21.1,55.0
44,2026-07-09 19:00:00,29.5,77.0,0.0,20.7,43.0
45,2026-07-09 20:00:00,29.1,80.0,0.0,20.4,27.0
46,2026-07-09 21:00:00,29.0,81.0,0.0,20.1,27.0
47,2026-07-09 22:00:00,28.8,83.0,0.0,20.8,23.0
